tiempo,valor
0.0,502.0
1.0,510.0
2.0,507.0
3.0,511.0
4.0,511.0
5.0,514.0
6.0,513.0
7.0,508.0
8.0,517.0
9.000000000000002,511.0
10.0,507.0
11.0,504.0
12.0,503.0
13.000000000000002,505.0
14.0,506.0
15.0,505.0
16.0,506.0
17.0,505.0
18.000000000000004,516.0
19.0,510.0
20.0,508.0
21.0,510.0
22.0,508.0
23.0,512.0
24.0,512.0
25.0,505.0
26.000000000000004,510.0
27.0,515.0
28.0,504.0
29.0,513.0
30.0,511.0
31.0,508.0
32.0,506.0
33.0,504.0
34.0,505.0
35.0,510.0
36.00000000000001,512.0
37.0,516.0
38.0,504.0
39.0,510.0
40.0,508.0
41.0,509.0
42.0,516.0
43.0,514.0
44.0,507.0
45.0,499.0
46.0,503.0
47.0,510.0
48.0,510.0
49.0,511.0
50.0,501.0
51.00000000000001,505.0
52.00000000000001,512.0
53.0,512.0
54.0,513.0
55.0,513.0
56.0,510.0
57.0,513.0
58.0,509.0
59.00000000000001,506.0
60.0,507.0
61.0,511.0
62.0,510.0
63.0,510.0
64.0,502.0
65.0,503.0
66.0,507.0
67.0,507.0
68.0,508.0
69.0,507.0
70.0,512.0
71.00000000000001,514.0
72.00000000000001,511.0
73.0,512.0
74.0,507.0
75.0,515.0
76.0,509.0
77.0,505.0
78.0,508.0
79.0,508.0
80.0,508.0
81.0,510.0
82.0,507.0
83.0,506.0
84.0,501.0
85.0,504.0
86.0,507.0
87.00000000000001,505.0
88.0,516.0
89.0,510.0
90.0,508.0
91.0,516.0
92.0,514.0
93.0,512.0
94.0,509.0
95.0,504.0
96.0,507.0
97.0,501.0
98.0,504.0
99.0,512.0
100.0,511.0
101.0,508.0
102.00000000000001,510.0
103.00000000000001,511.0
104.00000000000001,509.0
105.0,510.0
106.0,521.0
107.0,508.0
108.0,516.0
109.0,511.0
110.0,510.0
111.0,504.0
112.0,508.0
113.0,510.0
114.0,501.0
115.0,498.0
116.0,509.0
117.0,505.0
118.00000000000001,510.0
119.00000000000001,508.0
120.0,511.0
121.0,511.0
122.0,508.0
123.0,516.0
124.0,505.0
125.0,511.0
126.0,520.0
127.0,508.0
128.0,495.0
129.0,501.0
130.0,508.0
131.0,503.0
132.0,513.0
133.0,512.0
134.0,513.0
135.0,512.0
136.0,509.0
137.0,514.0
138.0,507.0
139.0,517.0
140.0,507.0
141.0,506.0
142.00000000000003,509.0
143.00000000000003,519.0
144.00000000000003,507.0
145.0,503.0
146.0,502.0
147.0,502.0
148.0,504.0
149.0,512.0
150.0,511.0
151.0,503.0
152.0,516.0
153.0,515.0
154.0,513.0
155.0,515.0
156.0,511.0
157.0,508.0
158.0,508.0
159.0,508.0
160.0,514.0
161.0,508.0
162.0,504.0
163.0,499.0
164.0,503.0
165.0,512.0
166.0,510.0
167.0,508.0
168.0,509.0
169.0,511.0
170.0,511.0
171.0,509.0
172.0,511.0
173.00000000000003,515.0
174.00000000000003,510.0
175.00000000000003,513.0
176.0,513.0
177.0,508.0
178.0,508.0
179.0,498.0
180.0,509.0
181.0,504.0
182.0,502.0
183.0,508.0
184.0,509.0
185.0,507.0
186.0,513.0
187.0,504.0
188.0,515.0
189.0,513.0
190.0,511.0
191.0,514.0
192.0,508.0
193.0,507.0
194.0,510.0
195.0,505.0
196.0,516.0
197.0,507.0
198.0,504.0
199.0,506.0
200.0,508.0
201.0,508.0
202.0,503.0
203.0,513.0
204.00000000000003,512.0
205.00000000000003,508.0
206.00000000000003,511.0
207.00000000000003,508.0
208.00000000000003,504.0
209.0,514.0
210.0,513.0
211.0,505.0
212.0,508.0
213.0,503.0
214.0,505.0
215.0,511.0
216.0,511.0
217.0,507.0
218.0,498.0
219.0,511.0
220.0,510.0
221.0,514.0
222.0,511.0
223.0,512.0
224.0,507.0
225.0,515.0
226.0,515.0
227.0,510.0
228.0,506.0
229.0,504.0
230.0,508.0
231.0,506.0
232.0,505.0
233.0,504.0
234.0,509.0
235.00000000000003,506.0
236.00000000000003,511.0
237.00000000000003,519.0
238.00000000000003,513.0
239.00000000000003,513.0
240.0,512.0
241.0,512.0
242.0,508.0
243.0,504.0
244.0,505.0
245.0,511.0
246.0,504.0
247.0,507.0
248.0,509.0
249.0,504.0
250.0,508.0
251.0,507.0
252.0,512.0
253.0,514.0
254.0,513.0
255.0,513.0
256.0,511.0
257.0,512.0
258.0,511.0
259.0,508.0
260.0,507.0
261.0,505.0
262.0,506.0
263.0,511.0
264.0,508.0
265.0,502.0
266.0,511.0
267.0,506.0
268.0,507.0
269.0,505.0
270.0,515.0
271.0,508.0
272.0,506.0
273.0,513.0
274.0,512.0
275.0,510.0
276.0,507.0
277.0,514.0
278.0,511.0
279.0,508.0
280.0,504.0
281.0,501.0
282.0,502.0
283.00000000000006,502.0
284.00000000000006,504.0
285.00000000000006,508.0
286.00000000000006,514.0
287.00000000000006,518.0
288.00000000000006,517.0
289.0,517.0
290.0,511.0
291.0,504.0
292.0,510.0
293.0,508.0
294.0,512.0
295.0,507.0
296.0,507.0
297.0,505.0
298.0,509.0
299.0,506.0
300.0,502.0
301.0,504.0
302.0,510.0
303.0,509.0
304.0,516.0
305.0,506.0
306.0,517.0
307.0,514.0
308.0,512.0
309.0,514.0
310.0,510.0
311.0,503.0
312.0,503.0
313.0,515.0
314.0,502.0
315.0,504.0
316.0,511.0
317.0,504.0
318.0,504.0
319.0,513.0
320.0,506.0
321.0,515.0
322.0,515.0
323.0,512.0
324.0,508.0
325.0,505.0
326.0,511.0
327.0,510.0
328.0,507.0
329.0,501.0
330.0,507.0
331.0,505.0
332.0,504.0
333.0,505.0
334.0,506.0
335.0,507.0
336.0,508.0
337.0,514.0
338.0,510.0
339.0,510.0
340.0,515.0
341.0,515.0
342.0,512.0
343.0,520.0
344.0,511.0
345.00000000000006,509.0
346.00000000000006,502.0
347.00000000000006,506.0
348.00000000000006,502.0
349.00000000000006,507.0
350.00000000000006,512.0
351.00000000000006,505.0
352.0,509.0
353.0,510.0
354.0,510.0
355.0,508.0
356.0,515.0
357.0,516.0
358.0,515.0
359.0,512.0
360.0,510.0
361.0,509.0
362.0,505.0
363.0,506.0
364.0,504.0
365.0,503.0
366.0,507.0
367.0,508.0
368.0,510.0
369.0,510.0
370.0,511.0
371.0,506.0
372.0,511.0
373.0,515.0
374.0,509.0
375.0,500.0
376.0,510.0
377.0,511.0
378.0,513.0
379.0,503.0
380.0,503.0
381.0,508.0
382.0,509.0
383.0,508.0
384.0,503.0
385.0,499.0
386.0,513.0
387.0,515.0
388.0,513.0
389.0,510.0
390.0,508.0
391.0,513.0
392.0,518.0
393.0,513.0
394.0,509.0
395.0,502.0
396.0,507.0
397.0,513.0
398.0,508.0
399.0,508.0
400.0,511.0
401.0,502.0
402.0,511.0
403.0,519.0
404.0,507.0
405.0,503.0
406.0,508.0
407.0,508.0
408.00000000000006,507.0
409.00000000000006,518.0
410.00000000000006,511.0
411.00000000000006,504.0
412.00000000000006,507.0
413.00000000000006,511.0
414.00000000000006,500.0
415.00000000000006,507.0
416.00000000000006,509.0
417.0,508.0
418.0,505.0
419.0,511.0
420.0,511.0
421.0,512.0
422.0,511.0
423.0,508.0
424.0,509.0
425.0,508.0
426.0,514.0
427.0,515.0
428.0,504.0
429.0,508.0
430.0,505.0
431.0,502.0
432.0,506.0
433.0,507.0
434.0,508.0
435.0,507.0
436.0,509.0
437.0,512.0
438.0,519.0
439.0,516.0
440.0,507.0
441.0,510.0
442.0,510.0
443.0,510.0
444.0,515.0
445.0,500.0
446.0,507.0
447.0,509.0
448.0,507.0
449.0,505.0
450.0,504.0
451.0,506.0
452.0,508.0
453.0,508.0
454.0,504.0
455.0,511.0
456.0,519.0
457.0,509.0
458.0,510.0
459.0,513.0
460.0,516.0
461.0,508.0
462.0,508.0
463.0,504.0
464.0,501.0
465.0,504.0
466.0,508.0
467.0,504.0
468.0,509.0
469.0,519.0
470.00000000000006,515.0
471.00000000000006,509.0
472.00000000000006,513.0
473.00000000000006,512.0
474.00000000000006,517.0
475.00000000000006,508.0
476.00000000000006,513.0
477.00000000000006,506.0
478.00000000000006,506.0
479.00000000000006,501.0
480.0,502.0
481.0,503.0
482.0,507.0
483.0,512.0
484.0,500.0
485.0,503.0
486.0,511.0
487.0,515.0
488.0,514.0
489.0,511.0
490.0,512.0
491.0,512.0
492.0,511.0
493.0,511.0
494.0,510.0
495.0,502.0
496.0,505.0
497.0,504.0
498.0,508.0
499.0,508.0
500.0,503.0
501.0,507.0
502.0,510.0
503.0,512.0
504.0,518.0
505.0,510.0
506.0,512.0
507.0,513.0
508.0,508.0
509.0,512.0
510.0,509.0
511.0,507.0
512.0,499.0
513.0,504.0
514.0,507.0
515.0,504.0
516.0,508.0
517.0,508.0
518.0,504.0
519.0,508.0
520.0,516.0
521.0,517.0
522.0,511.0
523.0,512.0
524.0,506.0
525.0,515.0
526.0,511.0
527.0,508.0
528.0,502.0
529.0,500.0
530.0,504.0
531.0,502.0
532.0,507.0
533.0,509.0
534.0,505.0
535.0,510.0
536.0,512.0
537.0,512.0
538.0,511.0
539.0,516.0
540.0,513.0
541.0,510.0
542.0,509.0
543.0,517.0
544.0,504.0
545.0,499.0
546.0,508.0
547.0,510.0
548.0,509.0
549.0,505.0
550.0,510.0
551.0,499.0
552.0,515.0
553.0,510.0
554.0,511.0
555.0,511.0
556.0,513.0
557.0,514.0
558.0,506.0
559.0,512.0
560.0,512.0
561.0,509.0
562.0,501.0
563.0,509.0
564.0,510.0
565.0000000000001,505.0
566.0000000000001,510.0
567.0000000000001,503.0
568.0000000000001,502.0
569.0000000000001,512.0
570.0000000000001,515.0
571.0000000000001,511.0
572.0000000000001,508.0
573.0000000000001,514.0
574.0000000000001,516.0
575.0000000000001,507.0
576.0000000000001,516.0
577.0,510.0
578.0,503.0
579.0,499.0
580.0,509.0
581.0,507.0
582.0,508.0
583.0,507.0
584.0,501.0
585.0,504.0
586.0,515.0
587.0,510.0
588.0,513.0
589.0,518.0
590.0,520.0
591.0,511.0
592.0,510.0
593.0,513.0
594.0,507.0
595.0,502.0
596.0,497.0
597.0,505.0
598.0,511.0
599.0,505.0
600.0,505.0
601.0,498.0
602.0,505.0
603.0,510.0
604.0,515.0
605.0,512.0
606.0,514.0
607.0,513.0
608.0,506.0
609.0,516.0
610.0,503.0
611.0,508.0
612.0,507.0
613.0,509.0
614.0,502.0
615.0,507.0
616.0,513.0
617.0,506.0
618.0,505.0
619.0,509.0
620.0,512.0
621.0,513.0
622.0,510.0
623.0,515.0
624.0,511.0
625.0,506.0
626.0,513.0
627.0,511.0
628.0,507.0
629.0,505.0
630.0,504.0
631.0,506.0
632.0,504.0
633.0,508.0
634.0,505.0
635.0,505.0
636.0,518.0
637.0,517.0
638.0,514.0
639.0,509.0
640.0,512.0
641.0,511.0
642.0,508.0
643.0,509.0
644.0,512.0
645.0,508.0
646.0,509.0
647.0,501.0
648.0,512.0
649.0,500.0
650.0,504.0
651.0,508.0
652.0,512.0
653.0,514.0
654.0,505.0
655.0,515.0
656.0,511.0
657.0,511.0
658.0,509.0
659.0,515.0
660.0,512.0
661.0,501.0
662.0,503.0
663.0,499.0
664.0,513.0
665.0,511.0
666.0,501.0
667.0,506.0
668.0,505.0
669.0,517.0
670.0,513.0
671.0,513.0
672.0,508.0
673.0,514.0
674.0,504.0
675.0,516.0
676.0,512.0
677.0,504.0
678.0,505.0
679.0,504.0
680.0,502.0
681.0,505.0
682.0,508.0
683.0,512.0
684.0,507.0
685.0,506.0
686.0,517.0
687.0,511.0
688.0,513.0
689.0,510.0
690.0000000000001,513.0
691.0000000000001,512.0
692.0000000000001,511.0
693.0000000000001,508.0
694.0000000000001,515.0
695.0000000000001,507.0
696.0000000000001,498.0
697.0000000000001,505.0
698.0000000000001,497.0
699.0000000000001,504.0
700.0000000000001,510.0
701.0000000000001,505.0
702.0000000000001,505.0
703.0000000000001,508.0
704.0,514.0
705.0,517.0
706.0,517.0
707.0,511.0
708.0,514.0
709.0,509.0
710.0,514.0
711.0,509.0
712.0,506.0
713.0,501.0
714.0,502.0
715.0,506.0
716.0,504.0
717.0,510.0
718.0,504.0
719.0,512.0
720.0,513.0
721.0,515.0
722.0,505.0
723.0,508.0
724.0,509.0
725.0,514.0
726.0,518.0
727.0,511.0
728.0,505.0
729.0,501.0
730.0,505.0
731.0,505.0
732.0,512.0
733.0,505.0
734.0,506.0
735.0,511.0
736.0,509.0
737.0,517.0
738.0,510.0
739.0,513.0
740.0,518.0
741.0,508.0
742.0,508.0
743.0,509.0
744.0,508.0
745.0,503.0
746.0,503.0
747.0,505.0
748.0,505.0
749.0,507.0
750.0,508.0
751.0,509.0
752.0,507.0
753.0,513.0
754.0,515.0
755.0,510.0
756.0,514.0
757.0,507.0
758.0,508.0
759.0,515.0
760.0,511.0
761.0,507.0
762.0,505.0
763.0,500.0
764.0,506.0
765.0,500.0
766.0,501.0
767.0,503.0
768.0,512.0
769.0,511.0
770.0,509.0
771.0,518.0
772.0,515.0
773.0,512.0
774.0,503.0
775.0,512.0
776.0,512.0
777.0,510.0
778.0,512.0
779.0,509.0
780.0,504.0
781.0,497.0
782.0,502.0
783.0,511.0
784.0,507.0
785.0,501.0
786.0,512.0
787.0,520.0
788.0,510.0
789.0,507.0
790.0,517.0
791.0,511.0
792.0,512.0
793.0,507.0
794.0,504.0
795.0,510.0
796.0,501.0
797.0,512.0
798.0,500.0
799.0,510.0
800.0,504.0
801.0,506.0
802.0,511.0
803.0,513.0
804.0,509.0
805.0,511.0
806.0,507.0
807.0,514.0
808.0,510.0
809.0,508.0
810.0,506.0
811.0,510.0
812.0,506.0
813.0,507.0
814.0,508.0
815.0000000000001,511.0
816.0000000000001,504.0
817.0000000000001,515.0
818.0000000000001,499.0
819.0000000000001,514.0
820.0000000000001,513.0
821.0000000000001,515.0
822.0000000000001,517.0
823.0000000000001,505.0
824.0000000000001,514.0
825.0000000000001,504.0
826.0000000000001,512.0
827.0000000000001,512.0
828.0000000000001,505.0
829.0000000000001,509.0
830.0000000000001,513.0
831.0000000000001,500.0
832.0000000000001,507.0
833.0,502.0
834.0,507.0
835.0,515.0
836.0,510.0
837.0,514.0
838.0,514.0
839.0,511.0
840.0,510.0
841.0,510.0
842.0,515.0
843.0,515.0
844.0,507.0
845.0,504.0
846.0,501.0
847.0,505.0
848.0,501.0
849.0,503.0
850.0,509.0
851.0,508.0
852.0,508.0
853.0,512.0
854.0,512.0
855.0,514.0
856.0,513.0
857.0,505.0
858.0,515.0
859.0,510.0
860.0,519.0
861.0,503.0
862.0,495.0
863.0,501.0
864.0,515.0
865.0,505.0
866.0,509.0
867.0,504.0
868.0,509.0
869.0,515.0
870.0,512.0
871.0,517.0
872.0,512.0
873.0,510.0
874.0,507.0
875.0,514.0
876.0,507.0
877.0,503.0
878.0,504.0
879.0,502.0
880.0,508.0
881.0,500.0
882.0,505.0
883.0,508.0
884.0,511.0
885.0,504.0
886.0,505.0
887.0,517.0
888.0,513.0
889.0,512.0
890.0,508.0
891.0,508.0
892.0,512.0
893.0,512.0
894.0,512.0
895.0,503.0
896.0,507.0
897.0,511.0
898.0,510.0
899.0,512.0
900.0,504.0
901.0,500.0
902.0,511.0
903.0,515.0
904.0,513.0
905.0,504.0
906.0,511.0
907.0,511.0
908.0,510.0
909.0,513.0
910.0,511.0
911.0,508.0
912.0,499.0
913.0,502.0
914.0,504.0
915.0,504.0
916.0,510.0
917.0,512.0
918.0,510.0
919.0,510.0
920.0,515.0
921.0,515.0
922.0,509.0
923.0,509.0
924.0,512.0
925.0,513.0
926.0,508.0
927.0,513.0
928.0,506.0
929.0,498.0
930.0,497.0
931.0,504.0
932.0,505.0
933.0,508.0
934.0,512.0
935.0,506.0
936.0,507.0
937.0,508.0
938.0,511.0
939.0,512.0
940.0000000000001,512.0
941.0000000000001,496.0
942.0000000000001,512.0
943.0000000000001,508.0
944.0000000000001,505.0
945.0000000000001,509.0
946.0000000000001,514.0
947.0000000000001,508.0
948.0000000000001,508.0
949.0000000000001,505.0
950.0000000000001,512.0
951.0000000000001,508.0
952.0000000000001,503.0
953.0000000000001,507.0
954.0000000000001,515.0
955.0000000000001,516.0
956.0000000000001,511.0
957.0000000000001,506.0
958.0000000000001,506.0
959.0000000000001,511.0
960.0,516.0
961.0,504.0
962.0,507.0
963.0,504.0
964.0,511.0
965.0,510.0
966.0,508.0
967.0,500.0
968.0,506.0
969.0,513.0
970.0,507.0
971.0,508.0
972.0,511.0
973.0,514.0
974.0,515.0
975.0,508.0
976.0,513.0
977.0,509.0
978.0,513.0
979.0,507.0
980.0,504.0
981.0,507.0
982.0,505.0
983.0,509.0
984.0,505.0
985.0,508.0
986.0,508.0
987.0,511.0
988.0,512.0
989.0,511.0
990.0,511.0
991.0,510.0
992.0,506.0
993.0,514.0
994.0,510.0
995.0,506.0
996.0,510.0
997.0,505.0
998.0,509.0
999.0,502.0
1000.0,514.0
1001.0000000000001,500.0
1002.0,507.0
1003.0000000000001,506.0
1004.0,516.0
1005.0000000000001,509.0
1006.0,514.0
1007.0000000000001,515.0
1008.0,512.0
1009.0000000000001,505.0
1010.0,516.0
1011.0000000000001,503.0
1012.0,506.0
1013.0000000000001,505.0
1014.0,505.0
1015.0000000000001,504.0
1016.0,506.0
1017.0000000000001,504.0
1018.0,512.0
1019.0000000000001,521.0
1020.0,510.0
1021.0000000000001,510.0
1022.0,510.0
1023.0000000000001,515.0
1024.0,510.0
1025.0,510.0
1026.0,517.0
1027.0,514.0
1028.0,502.0
1029.0,505.0
1030.0,502.0
1031.0,504.0
1032.0,506.0
1033.0,509.0
1034.0,513.0
1035.0,509.0
1036.0,503.0
1037.0,512.0
1038.0,515.0
1039.0,511.0
1040.0,513.0
1041.0,513.0
1042.0,504.0
1043.0,510.0
1044.0,507.0
1045.0,500.0
1046.0,507.0
1047.0,511.0
1048.0,508.0
1049.0,514.0
1050.0,507.0
1051.0,508.0
1052.0,504.0
1053.0,517.0
1054.0,509.0
1055.0,504.0
1056.0,505.0
1057.0,508.0
1058.0,515.0
1059.0,520.0
1060.0,511.0
1061.0,500.0
1062.0,495.0
1063.0,503.0
1064.0,505.0
1065.0,503.0
1066.0,503.0
1067.0,510.0
1068.0,505.0
1069.0,513.0
1070.0,521.0
1071.0,517.0
1072.0,515.0
1073.0,508.0
1074.0,513.0
1075.0,515.0
1076.0,511.0
1077.0,504.0
1078.0,505.0
1079.0,506.0
1080.0,499.0
1081.0,508.0
1082.0,503.0
1083.0,506.0
1084.0,509.0
1085.0,511.0
1086.0,505.0
1087.0,519.0
1088.0,515.0
1089.0,510.0
1090.0,517.0
1091.0,514.0
1092.0,502.0
1093.0,510.0
1094.0,510.0
1095.0,499.0
1096.0,506.0
1097.0,504.0
1098.0,504.0
1099.0,503.0
1100.0,510.0
1101.0,505.0
1102.0,507.0
1103.0,510.0
1104.0,513.0
1105.0,509.0
1106.0,514.0
1107.0,515.0
1108.0,514.0
1109.0,514.0
1110.0,509.0
1111.0,504.0
1112.0,504.0
1113.0,499.0
1114.0,501.0
1115.0,502.0
1116.0,508.0
1117.0,511.0
1118.0,510.0
1119.0,510.0
1120.0,514.0
1121.0,512.0
1122.0,509.0
1123.0,518.0
1124.0,513.0
1125.0,510.0
1126.0,513.0
1127.0,515.0
1128.0,510.0
1129.0,504.0
1130.0000000000002,497.0
1131.0,501.0
1132.0000000000002,509.0
1133.0,519.0
1134.0000000000002,504.0
1135.0,507.0
1136.0000000000002,506.0
1137.0,512.0
1138.0000000000002,520.0
1139.0,512.0
1140.0000000000002,507.0
1141.0,510.0
1142.0000000000002,509.0
1143.0,512.0
1144.0000000000002,507.0
1145.0,508.0
1146.0000000000002,504.0
1147.0,507.0
1148.0000000000002,503.0
1149.0,506.0
1150.0000000000002,508.0
1151.0,505.0
1152.0000000000002,510.0
1153.0,513.0
1154.0,507.0
1155.0,508.0
1156.0,512.0
1157.0,517.0
1158.0,513.0
1159.0,511.0
1160.0,506.0
1161.0,512.0
1162.0,508.0
1163.0,499.0
1164.0,508.0
1165.0,502.0
1166.0,510.0
1167.0,508.0
1168.0,509.0
1169.0,512.0
1170.0,506.0
1171.0,514.0
1172.0,509.0
1173.0,512.0
1174.0,508.0
1175.0,507.0
1176.0,516.0
1177.0,510.0
1178.0,504.0
1179.0,505.0
1180.0,511.0
1181.0,505.0
1182.0,506.0
1183.0,504.0
1184.0,508.0
1185.0,510.0
1186.0,520.0
1187.0,508.0
1188.0,515.0
1189.0,515.0
1190.0,516.0
1191.0,512.0
1192.0,504.0
1193.0,506.0
1194.0,501.0
1195.0,513.0
1196.0,508.0
1197.0,505.0
1198.0,504.0
1199.0,509.0
1200.0,504.0
1201.0,506.0
1202.0,510.0
1203.0,511.0
1204.0,509.0
1205.0,509.0
1206.0,502.0
1207.0,521.0
1208.0,515.0
1209.0,508.0
1210.0,512.0
1211.0,509.0
1212.0,512.0
1213.0,510.0
1214.0,505.0
1215.0,505.0
1216.0,504.0
1217.0,511.0
1218.0,506.0
1219.0,509.0
1220.0,512.0
1221.0,519.0
1222.0,509.0
1223.0,514.0
1224.0,504.0
1225.0,504.0
1226.0,510.0
1227.0,513.0
1228.0,506.0
1229.0,505.0
1230.0,510.0
1231.0,504.0
1232.0,507.0
1233.0,503.0
1234.0,508.0
1235.0,515.0
1236.0,510.0
1237.0,507.0
1238.0,516.0
1239.0,511.0
1240.0,510.0
1241.0,505.0
1242.0,504.0
1243.0,516.0
1244.0,512.0
1245.0,501.0
1246.0,503.0
1247.0,506.0
1248.0,508.0
1249.0,505.0
1250.0,506.0
1251.0,506.0
1252.0,512.0
1253.0,511.0
1254.0,513.0
1255.0000000000002,516.0
1256.0,515.0
1257.0000000000002,515.0
1258.0,514.0
1259.0000000000002,507.0
1260.0,506.0
1261.0000000000002,508.0
1262.0,507.0
1263.0000000000002,508.0
1264.0,505.0
1265.0000000000002,506.0
1266.0,501.0
1267.0000000000002,508.0
1268.0,507.0
1269.0000000000002,507.0
1270.0,519.0
1271.0000000000002,517.0
1272.0,507.0
1273.0000000000002,513.0
1274.0,511.0
1275.0000000000002,509.0
1276.0,514.0
1277.0000000000002,510.0
1278.0,519.0
1279.0000000000002,498.0
1280.0,496.0
1281.0,503.0
1282.0,502.0
1283.0,498.0
1284.0,506.0
1285.0,505.0
1286.0,518.0
1287.0,513.0
1288.0,514.0
1289.0,508.0
1290.0,515.0
1291.0,509.0
1292.0,506.0
1293.0,509.0
1294.0,504.0
1295.0,508.0
1296.0,509.0
1297.0,503.0
1298.0,503.0
1299.0,507.0
1300.0,510.0
1301.0,504.0
1302.0,507.0
1303.0,508.0
1304.0,513.0
1305.0,515.0
1306.0,515.0
1307.0,511.0
1308.0,506.0
1309.0,512.0
1310.0,512.0
1311.0,502.0
1312.0,511.0
1313.0,507.0
1314.0,505.0
1315.0,508.0
1316.0,513.0
1317.0,516.0
1318.0,502.0
1319.0,507.0
1320.0,510.0
1321.0,520.0
1322.0,508.0
1323.0,515.0
1324.0,509.0
1325.0,504.0
1326.0,509.0
1327.0,513.0
1328.0,511.0
1329.0,503.0
1330.0,507.0
1331.0,510.0
1332.0,504.0
1333.0,502.0
1334.0,506.0
1335.0,510.0
1336.0,503.0
1337.0,515.0
1338.0,513.0
1339.0,514.0
1340.0,519.0
1341.0,507.0
1342.0,507.0
1343.0,510.0
1344.0,512.0
1345.0,507.0
1346.0,504.0
1347.0,497.0
1348.0,497.0
1349.0,507.0
1350.0,498.0
1351.0,503.0
1352.0,508.0
1353.0,512.0
1354.0,518.0
1355.0,518.0
1356.0,509.0
1357.0,518.0
1358.0,512.0
1359.0,512.0
1360.0,507.0
1361.0,510.0
1362.0,506.0
1363.0,502.0
1364.0,509.0
1365.0,504.0
1366.0,507.0
1367.0,501.0
1368.0,504.0
1369.0,514.0
1370.0,512.0
1371.0,511.0
1372.0,514.0
1373.0,511.0
1374.0,513.0
1375.0,509.0
1376.0,508.0
1377.0,513.0
1378.0,513.0
1379.0,500.0
1380.0000000000002,502.0
1381.0,502.0
1382.0000000000002,508.0
1383.0,507.0
1384.0000000000002,509.0
1385.0,508.0
1386.0000000000002,512.0
1387.0,515.0
1388.0000000000002,511.0
1389.0,516.0
1390.0000000000002,514.0
1391.0,508.0
1392.0000000000002,503.0
1393.0,512.0
1394.0000000000002,513.0
1395.0,500.0
1396.0000000000002,504.0
1397.0,503.0
1398.0000000000002,501.0
1399.0,508.0
1400.0000000000002,512.0
1401.0,504.0
1402.0000000000002,500.0
1403.0,513.0
1404.0000000000002,514.0
1405.0,511.0
1406.0000000000002,512.0
1407.0,511.0
1408.0,511.0
1409.0,511.0
1410.0,509.0
1411.0,519.0
1412.0,504.0
1413.0,500.0
1414.0,506.0
1415.0,502.0
1416.0,504.0
1417.0,507.0
1418.0,508.0
1419.0,515.0
1420.0,512.0
1421.0,511.0
1422.0,518.0
1423.0,509.0
1424.0,511.0
1425.0,507.0
1426.0,513.0
1427.0,506.0
1428.0,511.0
1429.0,509.0
