tiempo,valor
66000.0,508.0
66001.0,504.0
66002.0,508.0
66003.0,504.0
66004.0,500.0
66005.0,513.0
66006.0,510.0
66007.0,508.0
66008.0,511.0
66009.0,518.0
66010.0,511.0
66011.0,508.0
66012.0,511.0
66013.0,507.0
66014.0,509.0
66015.0,512.0
66016.0,509.0
66017.0,495.0
66018.0,509.0
66019.0,510.0
66020.0,506.0
66021.0,500.0
66022.0,506.0
66023.0,512.0
66024.0,511.0
66025.0,514.0
66026.0,509.0
66027.0,509.0
66028.0,514.0
66029.0,512.0
66030.0,509.0
66031.0,511.0
66032.0,503.0
66033.0,506.0
66034.0,508.0
66035.0,505.0
66036.0,512.0
66037.0,505.0
66038.0,511.0
66039.0,514.0
66040.0,508.0
66041.0,508.0
66042.0,509.0
66043.0,512.0
66044.0,508.0
66045.0,516.0
66046.0,510.0
66047.0,506.0
66048.0,511.0
66049.0,508.0
66050.0,510.0
66051.0,503.0
66052.0,504.0
66053.0,511.0
66054.0,504.0
66055.0,507.0
66056.0,513.0
66057.0,507.0
66058.0,510.0
66059.0,514.0
66060.0,515.0
66061.0,510.0
66062.0,509.0
66063.0,511.0
66064.0,507.0
66065.0,512.0
66066.0,510.0
66067.0,500.0
66068.0,504.0
66069.0,508.0
66070.00000000001,501.0
66071.0,506.0
66072.0,504.0
66073.00000000001,501.0
66074.0,513.0
66075.0,514.0
66076.00000000001,518.0
66077.0,516.0
66078.0,511.0
66079.00000000001,505.0
66080.0,512.0
66081.0,512.0
66082.00000000001,513.0
66083.0,511.0
66084.0,507.0
66085.00000000001,502.0
66086.0,501.0
66087.0,508.0
66088.00000000001,510.0
66089.0,508.0
66090.0,511.0
66091.00000000001,499.0
66092.0,510.0
66093.0,515.0
66094.00000000001,516.0
66095.0,511.0
66096.0,505.0
66097.00000000001,514.0
66098.0,511.0
66099.0,511.0
66100.0,504.0
66101.0,501.0
66102.0,503.0
66103.0,513.0
66104.0,508.0
66105.0,505.0
66106.0,504.0
66107.0,507.0
66108.0,518.0
66109.0,517.0
66110.0,520.0
66111.0,513.0
66112.0,517.0
66113.0,502.0
66114.0,510.0
66115.0,511.0
66116.0,508.0
66117.0,513.0
66118.0,508.0
66119.0,504.0
66120.0,510.0
66121.0,507.0
66122.0,503.0
66123.0,504.0
66124.0,508.0
66125.0,508.0
66126.0,508.0
66127.0,509.0
66128.0,511.0
66129.0,514.0
66130.0,511.0
66131.0,512.0
66132.0,514.0
66133.0,519.0
66134.0,503.0
66135.0,503.0
66136.0,509.0
66137.0,504.0
66138.0,506.0
66139.0,500.0
66140.0,510.0
66141.0,510.0
66142.0,512.0
66143.0,511.0
66144.0,513.0
66145.0,515.0
66146.0,512.0
66147.0,509.0
66148.0,506.0
66149.0,513.0
66150.0,510.0
66151.0,509.0
66152.0,502.0
66153.0,501.0
66154.0,506.0
66155.0,509.0
66156.0,508.0
66157.0,509.0
66158.0,511.0
66159.0,520.0
66160.0,515.0
66161.0,507.0
66162.0,506.0
66163.0,507.0
66164.0,513.0
66165.0,510.0
66166.0,506.0
66167.0,503.0
66168.0,497.0
66169.0,507.0
66170.0,508.0
66171.0,503.0
66172.0,511.0
66173.0,505.0
66174.0,506.0
66175.0,510.0
66176.0,512.0
66177.0,509.0
66178.0,512.0
66179.0,509.0
66180.0,513.0
66181.0,516.0
66182.0,512.0
66183.0,503.0
66184.0,508.0
66185.0,508.0
66186.0,507.0
66187.0,499.0
66188.0,499.0
66189.0,507.0
66190.0,508.0
66191.0,509.0
66192.0,515.0
66193.0,514.0
66194.0,512.0
66195.00000000001,513.0
66196.0,507.0
66197.0,511.0
66198.00000000001,512.0
66199.0,509.0
66200.0,507.0
66201.00000000001,513.0
66202.0,510.0
66203.0,507.0
66204.00000000001,514.0
66205.0,505.0
66206.0,508.0
66207.00000000001,503.0
66208.0,505.0
66209.0,508.0
66210.00000000001,509.0
66211.0,518.0
66212.0,510.0
66213.00000000001,514.0
66214.0,512.0
66215.0,508.0
66216.00000000001,511.0
66217.0,508.0
66218.0,510.0
66219.00000000001,503.0
66220.0,497.0
66221.0,505.0
66222.00000000001,502.0
66223.0,500.0
66224.0,510.0
66225.0,515.0
66226.0,520.0
66227.0,516.0
66228.0,504.0
66229.0,508.0
66230.0,512.0
66231.0,511.0
66232.0,514.0
66233.0,509.0
66234.0,498.0
66235.0,504.0
66236.0,508.0
66237.0,509.0
66238.0,510.0
66239.0,509.0
66240.0,504.0
66241.0,508.0
66242.0,512.0
66243.0,505.0
66244.0,509.0
66245.0,516.0
66246.0,511.0
66247.0,516.0
66248.0,508.0
66249.0,518.0
66250.0,508.0
66251.0,507.0
66252.0,504.0
66253.0,509.0
66254.0,515.0
66255.0,508.0
66256.0,504.0
66257.0,502.0
66258.0,511.0
66259.0,519.0
66260.0,509.0
66261.0,512.0
66262.0,515.0
66263.0,508.0
66264.0,503.0
66265.0,518.0
66266.0,507.0
66267.0,501.0
66268.0,506.0
66269.0,505.0
66270.0,509.0
66271.0,506.0
66272.0,510.0
66273.0,503.0
66274.0,511.0
66275.0,502.0
66276.0,507.0
66277.0,512.0
66278.0,505.0
66279.0,511.0
66280.0,515.0
66281.0,507.0
66282.0,520.0
66283.0,502.0
66284.0,500.0
66285.0,507.0
66286.0,512.0
66287.0,505.0
66288.0,503.0
66289.0,512.0
66290.0,509.0
66291.0,508.0
66292.0,516.0
66293.0,514.0
66294.0,517.0
66295.0,513.0
66296.0,504.0
66297.0,505.0
66298.0,515.0
66299.0,510.0
66300.0,507.0
66301.0,505.0
66302.0,511.0
66303.0,506.0
66304.0,506.0
66305.0,511.0
66306.0,510.0
66307.0,512.0
66308.0,507.0
66309.0,513.0
66310.0,518.0
66311.0,508.0
66312.0,509.0
66313.0,509.0
66314.0,508.0
66315.0,505.0
66316.0,515.0
66317.0,506.0
66318.0,504.0
66319.0,507.0
66320.00000000001,506.0
66321.0,504.0
66322.0,504.0
66323.00000000001,503.0
66324.0,510.0
66325.0,508.0
66326.00000000001,515.0
66327.0,509.0
66328.0,515.0
66329.00000000001,511.0
66330.0,511.0
66331.0,512.0
66332.00000000001,513.0
66333.0,509.0
66334.0,503.0
66335.00000000001,505.0
66336.0,510.0
66337.0,497.0
66338.00000000001,505.0
66339.0,507.0
66340.0,504.0
66341.00000000001,505.0
66342.0,511.0
66343.0,523.0
66344.00000000001,519.0
66345.0,514.0
66346.0,505.0
66347.00000000001,507.0
66348.0,511.0
66349.0,515.0
66350.0,507.0
66351.0,502.0
66352.0,503.0
66353.0,505.0
66354.0,510.0
66355.0,507.0
66356.0,506.0
66357.0,512.0
66358.0,510.0
66359.0,515.0
66360.0,519.0
66361.0,512.0
66362.0,513.0
66363.0,510.0
66364.0,511.0
66365.0,508.0
66366.0,506.0
66367.0,510.0
66368.0,505.0
66369.0,508.0
66370.0,509.0
66371.0,502.0
66372.0,508.0
66373.0,501.0
66374.0,505.0
66375.0,508.0
66376.0,518.0
66377.0,512.0
66378.0,508.0
66379.0,508.0
66380.0,509.0
66381.0,512.0
66382.0,515.0
66383.0,502.0
66384.0,504.0
66385.0,508.0
66386.0,508.0
66387.0,504.0
66388.0,505.0
66389.0,511.0
66390.0,503.0
66391.0,512.0
66392.0,511.0
66393.0,517.0
66394.0,506.0
66395.0,516.0
66396.0,516.0
66397.0,513.0
66398.0,503.0
66399.0,508.0
66400.0,507.0
66401.0,507.0
66402.0,504.0
66403.0,507.0
66404.0,507.0
66405.0,504.0
66406.0,509.0
66407.0,510.0
66408.0,511.0
66409.0,514.0
66410.0,505.0
