tiempo,valor
0.0,513.0
1.0,518.0
2.0,513.0
3.0,505.0
4.0,500.0
5.0,497.0
6.0,502.0
7.0,505.0
8.0,508.0
9.000000000000002,511.0
10.0,510.0
11.0,515.0
12.0,509.0
13.000000000000002,513.0
14.0,515.0
15.0,514.0
16.0,511.0
17.0,510.0
18.000000000000004,510.0
19.0,512.0
20.0,498.0
21.0,504.0
22.0,508.0
23.0,503.0
24.0,502.0
25.0,507.0
26.000000000000004,508.0
27.0,512.0
28.0,516.0
29.0,508.0
30.0,510.0
31.0,520.0
32.0,518.0
33.0,506.0
34.0,506.0
35.0,516.0
36.00000000000001,510.0
37.0,500.0
38.0,507.0
39.0,511.0
40.0,502.0
41.0,500.0
42.0,511.0
43.0,513.0
44.0,511.0
45.0,515.0
46.0,510.0
47.0,511.0
48.0,512.0
49.0,515.0
50.0,509.0
51.00000000000001,518.0
52.00000000000001,509.0
53.0,502.0
54.0,501.0
55.0,508.0
56.0,508.0
57.0,499.0
58.0,507.0
59.00000000000001,510.0
60.0,504.0
61.0,517.0
62.0,515.0
63.0,510.0
64.0,513.0
65.0,515.0
66.0,508.0
67.0,508.0
68.0,512.0
69.0,518.0
70.0,505.0
71.00000000000001,499.0
72.00000000000001,500.0
73.0,500.0
74.0,505.0
75.0,512.0
76.0,511.0
77.0,510.0
78.0,515.0
79.0,516.0
80.0,511.0
81.0,507.0
82.0,514.0
83.0,508.0
84.0,510.0
85.0,506.0
86.0,509.0
87.00000000000001,509.0
88.0,499.0
89.0,504.0
90.0,505.0
91.0,498.0
92.0,501.0
93.0,514.0
94.0,518.0
95.0,521.0
96.0,514.0
97.0,508.0
98.0,510.0
99.0,516.0
100.0,514.0
101.0,516.0
102.00000000000001,508.0
103.00000000000001,505.0
104.00000000000001,501.0
105.0,504.0
106.0,499.0
107.0,504.0
108.0,504.0
109.0,516.0
110.0,515.0
111.0,515.0
112.0,509.0
113.0,509.0
114.0,505.0
115.0,517.0
116.0,513.0
117.0,513.0
118.00000000000001,514.0
119.00000000000001,513.0
120.0,496.0
121.0,503.0
122.0,501.0
123.0,503.0
124.0,498.0
125.0,509.0
126.0,514.0
127.0,513.0
128.0,505.0
129.0,517.0
130.0,512.0
131.0,508.0
132.0,515.0
133.0,509.0
134.0,509.0
135.0,513.0
136.0,508.0
137.0,497.0
138.0,502.0
139.0,510.0
140.0,502.0
141.0,509.0
142.00000000000003,516.0
143.00000000000003,505.0
144.00000000000003,511.0
145.0,518.0
146.0,519.0
147.0,509.0
148.0,518.0
149.0,508.0
150.0,516.0
151.0,513.0
152.0,502.0
153.0,504.0
154.0,502.0
155.0,499.0
156.0,505.0
157.0,504.0
158.0,511.0
159.0,506.0
160.0,510.0
161.0,511.0
162.0,524.0
163.0,516.0
164.0,511.0
165.0,508.0
166.0,515.0
167.0,506.0
168.0,513.0
169.0,510.0
170.0,500.0
171.0,506.0
172.0,505.0
173.00000000000003,505.0
174.00000000000003,508.0
175.00000000000003,509.0
176.0,515.0
177.0,508.0
178.0,510.0
179.0,506.0
180.0,513.0
181.0,511.0
182.0,519.0
183.0,515.0
184.0,509.0
185.0,511.0
186.0,507.0
187.0,506.0
188.0,506.0
189.0,501.0
190.0,500.0
191.0,505.0
192.0,502.0
193.0,514.0
194.0,508.0
195.0,519.0
196.0,510.0
197.0,512.0
198.0,511.0
199.0,514.0
200.0,510.0
201.0,510.0
202.0,506.0
203.0,508.0
204.00000000000003,501.0
205.00000000000003,510.0
206.00000000000003,510.0
207.00000000000003,503.0
208.00000000000003,505.0
209.0,504.0
210.0,513.0
211.0,515.0
212.0,518.0
213.0,516.0
214.0,510.0
215.0,509.0
216.0,510.0
217.0,512.0
218.0,512.0
219.0,514.0
220.0,499.0
221.0,504.0
222.0,506.0
223.0,507.0
224.0,507.0
225.0,508.0
226.0,501.0
227.0,513.0
228.0,507.0
229.0,518.0
230.0,511.0
231.0,516.0
232.0,513.0
233.0,508.0
234.0,506.0
235.00000000000003,510.0
236.00000000000003,510.0
237.00000000000003,500.0
238.00000000000003,505.0
239.00000000000003,508.0
240.0,505.0
241.0,508.0
242.0,507.0
243.0,503.0
244.0,519.0
245.0,507.0
246.0,510.0
247.0,517.0
248.0,520.0
249.0,507.0
250.0,508.0
251.0,511.0
252.0,508.0
253.0,504.0
254.0,502.0
255.0,509.0
256.0,503.0
257.0,502.0
258.0,506.0
259.0,508.0
260.0,514.0
261.0,510.0
262.0,516.0
263.0,512.0
264.0,508.0
265.0,516.0
266.0,515.0
267.0,510.0
268.0,509.0
269.0,508.0
270.0,502.0
271.0,504.0
272.0,503.0
273.0,506.0
274.0,498.0
275.0,503.0
276.0,510.0
277.0,510.0
278.0,514.0
279.0,516.0
280.0,509.0
281.0,513.0
282.0,504.0
283.00000000000006,513.0
284.00000000000006,509.0
285.00000000000006,506.0
286.00000000000006,502.0
287.00000000000006,504.0
288.00000000000006,500.0
289.0,503.0
290.0,507.0
291.0,512.0
292.0,513.0
293.0,508.0
294.0,510.0
295.0,518.0
296.0,503.0
297.0,504.0
298.0,512.0
299.0,513.0
300.0,512.0
301.0,513.0
302.0,502.0
303.0,508.0
304.0,504.0
305.0,504.0
306.0,497.0
307.0,505.0
308.0,512.0
309.0,514.0
310.0,507.0
311.0,508.0
312.0,513.0
313.0,513.0
314.0,518.0
315.0,518.0
316.0,513.0
317.0,511.0
318.0,515.0
319.0,507.0
320.0,505.0
321.0,505.0
322.0,501.0
323.0,508.0
324.0,503.0
325.0,511.0
326.0,506.0
327.0,511.0
328.0,510.0
329.0,505.0
330.0,514.0
331.0,521.0
332.0,513.0
333.0,508.0
334.0,511.0
335.0,508.0
336.0,494.0
337.0,502.0
338.0,504.0
339.0,504.0
340.0,510.0
341.0,508.0
342.0,504.0
343.0,508.0
344.0,511.0
345.00000000000006,519.0
346.00000000000006,510.0
347.00000000000006,515.0
348.00000000000006,514.0
349.00000000000006,511.0
350.00000000000006,511.0
351.00000000000006,510.0
352.0,508.0
353.0,506.0
354.0,500.0
355.0,507.0
356.0,500.0
357.0,506.0
358.0,503.0
359.0,516.0
360.0,508.0
361.0,513.0
362.0,509.0
363.0,509.0
364.0,512.0
365.0,518.0
366.0,512.0
367.0,501.0
368.0,510.0
369.0,511.0
370.0,504.0
371.0,498.0
372.0,508.0
373.0,500.0
374.0,511.0
375.0,507.0
376.0,507.0
377.0,504.0
378.0,514.0
379.0,515.0
380.0,508.0
381.0,515.0
382.0,513.0
383.0,511.0
384.0,512.0
385.0,510.0
386.0,506.0
387.0,505.0
388.0,509.0
389.0,501.0
390.0,496.0
391.0,502.0
392.0,511.0
393.0,513.0
394.0,511.0
395.0,506.0
396.0,511.0
397.0,515.0
398.0,509.0
399.0,510.0
400.0,507.0
401.0,516.0
402.0,511.0
403.0,508.0
404.0,503.0
405.0,512.0
406.0,499.0
407.0,500.0
408.00000000000006,507.0
409.00000000000006,510.0
410.00000000000006,513.0
411.00000000000006,517.0
412.00000000000006,518.0
413.00000000000006,501.0
414.00000000000006,510.0
415.00000000000006,508.0
416.00000000000006,509.0
417.0,504.0
418.0,508.0
419.0,505.0
420.0,504.0
421.0,501.0
422.0,505.0
423.0,504.0
424.0,506.0
425.0,508.0
426.0,512.0
427.0,519.0
428.0,513.0
429.0,508.0
430.0,507.0
431.0,508.0
432.0,513.0
433.0,508.0
434.0,512.0
435.0,515.0
436.0,510.0
437.0,506.0
438.0,505.0
439.0,495.0
440.0,505.0
441.0,510.0
442.0,508.0
443.0,513.0
444.0,508.0
445.0,510.0
446.0,513.0
447.0,508.0
448.0,519.0
449.0,514.0
450.0,507.0
451.0,513.0
452.0,512.0
453.0,515.0
454.0,503.0
455.0,499.0
456.0,502.0
457.0,501.0
458.0,509.0
459.0,507.0
460.0,512.0
461.0,513.0
462.0,510.0
463.0,507.0
464.0,511.0
465.0,514.0
466.0,513.0
467.0,514.0
468.0,510.0
469.0,511.0
470.00000000000006,504.0
471.00000000000006,512.0
472.00000000000006,500.0
473.00000000000006,504.0
474.00000000000006,504.0
475.00000000000006,508.0
476.00000000000006,511.0
477.00000000000006,511.0
478.00000000000006,514.0
479.00000000000006,512.0
480.0,514.0
481.0,516.0
482.0,510.0
483.0,505.0
484.0,505.0
485.0,504.0
486.0,505.0
487.0,505.0
488.0,503.0
489.0,500.0
490.0,508.0
491.0,508.0
492.0,513.0
493.0,515.0
494.0,515.0
495.0,517.0
496.0,510.0
497.0,509.0
498.0,502.0
