tiempo,valor
0.0,513.0
1.0,515.0
2.0,518.0
3.0,524.0
4.0,519.0
5.0,512.0
6.0,504.0
7.0,498.0
8.0,499.0
9.000000000000002,501.0
10.0,501.0
11.0,498.0
12.0,498.0
13.000000000000002,500.0
14.0,506.0
15.0,511.0
16.0,513.0
17.0,514.0
18.000000000000004,515.0
19.0,515.0
20.0,513.0
21.0,515.0
22.0,509.0
23.0,504.0
24.0,505.0
25.0,503.0
26.000000000000004,506.0
27.0,506.0
28.0,508.0
29.0,508.0
30.0,510.0
31.0,515.0
32.0,518.0
33.0,515.0
34.0,516.0
35.0,513.0
36.00000000000001,512.0
37.0,510.0
38.0,508.0
39.0,504.0
40.0,502.0
41.0,503.0
42.0,502.0
43.0,505.0
44.0,506.0
45.0,508.0
46.0,509.0
47.0,511.0
48.0,516.0
49.0,516.0
50.0,515.0
51.00000000000001,515.0
52.00000000000001,510.0
53.0,510.0
54.0,507.0
55.0,508.0
56.0,504.0
57.0,504.0
58.0,506.0
59.00000000000001,505.0
60.0,506.0
61.0,507.0
62.0,507.0
63.0,510.0
64.0,512.0
65.0,515.0
66.0,514.0
67.0,511.0
68.0,508.0
69.0,510.0
70.0,510.0
71.00000000000001,511.0
72.00000000000001,508.0
73.0,503.0
74.0,503.0
75.0,502.0
76.0,504.0
77.0,506.0
78.0,508.0
79.0,508.0
80.0,512.0
81.0,515.0
82.0,515.0
83.0,515.0
84.0,516.0
85.0,513.0
86.0,513.0
87.00000000000001,511.0
88.0,507.0
89.0,505.0
90.0,501.0
91.0,504.0
92.0,503.0
93.0,504.0
94.0,506.0
95.0,504.0
96.0,504.0
97.0,511.0
98.0,515.0
99.0,518.0
100.0,517.0
101.0,517.0
102.00000000000001,512.0
103.00000000000001,511.0
104.00000000000001,507.0
105.0,507.0
106.0,503.0
107.0,504.0
108.0,507.0
109.0,508.0
110.0,508.0
111.0,509.0
112.0,511.0
113.0,511.0
114.0,513.0
115.0,514.0
116.0,515.0
117.0,512.0
118.00000000000001,514.0
119.00000000000001,513.0
120.0,508.0
121.0,504.0
122.0,500.0
123.0,498.0
124.0,497.0
125.0,502.0
126.0,504.0
127.0,504.0
128.0,507.0
129.0,509.0
130.0,512.0
131.0,512.0
132.0,516.0
133.0,517.0
134.0,515.0
135.0,514.0
136.0,511.0
137.0,509.0
138.0,510.0
139.0,507.0
140.0,502.0
141.0,505.0
142.00000000000003,506.0
143.00000000000003,505.0
144.00000000000003,506.0
145.0,508.0
146.0,509.0
147.0,511.0
148.0,515.0
149.0,515.0
150.0,515.0
151.0,513.0
152.0,513.0
153.0,510.0
154.0,508.0
155.0,510.0
156.0,504.0
157.0,503.0
158.0,504.0
159.0,506.0
160.0,505.0
161.0,507.0
162.0,506.0
163.0,508.0
