tiempo,valor
12000.0,514.0
12001.0,512.0
12002.0,511.0
12003.0,507.0
12004.0,499.0
12005.0,496.0
12006.0,504.0
12007.0,508.0
12008.0,504.0
12009.0,504.0
12010.0,504.0
12011.000000000002,511.0
12012.0,517.0
12013.0,518.0
12014.000000000002,516.0
12015.0,514.0
12016.0,512.0
12017.0,510.0
12018.0,512.0
12019.0,509.0
12020.0,505.0
12021.0,502.0
12022.0,501.0
12023.0,504.0
12024.0,504.0
12025.0,507.0
12026.0,509.0
12027.000000000002,512.0
12028.0,514.0
12029.0,517.0
12030.000000000002,517.0
12031.0,514.0
12032.0,512.0
12033.0,515.0
12034.0,515.0
12035.0,514.0
12036.0,510.0
12037.0,505.0
12038.0,495.0
12039.0,487.0
12040.000000000002,495.0
12041.0,500.0
12042.0,504.0
12043.000000000002,507.0
12044.0,513.0
12045.0,516.0
12046.0,519.0
12047.0,521.0
12048.0,520.0
12049.0,513.0
12050.0,512.0
12051.0,510.0
12052.0,510.0
12053.0,508.0
12054.0,503.0
12055.0,498.0
12056.000000000002,499.0
12057.0,499.0
12058.0,502.0
12059.000000000002,507.0
12060.0,510.0
12061.0,515.0
12062.0,516.0
12063.0,520.0
12064.0,516.0
12065.0,515.0
12066.0,516.0
12067.0,514.0
12068.0,508.0
12069.0,507.0
12070.0,505.0
12071.0,500.0
12072.000000000002,499.0
12073.0,503.0
12074.0,503.0
12075.000000000002,507.0
12076.0,510.0
12077.0,512.0
12078.0,518.0
12079.0,518.0
12080.0,515.0
12081.0,517.0
12082.0,515.0
12083.0,503.0
12084.0,502.0
12085.0,508.0
12086.0,509.0
12087.0,500.0
12088.000000000002,496.0
12089.0,500.0
12090.0,504.0
12091.000000000002,508.0
12092.0,506.0
12093.0,509.0
12094.0,512.0
12095.0,515.0
12096.0,520.0
12097.0,518.0
12098.0,514.0
12099.0,515.0
12100.0,512.0
12101.0,512.0
12102.0,510.0
12103.0,506.0
12104.000000000002,499.0
12105.0,496.0
12106.0,499.0
12107.000000000002,504.0
12108.0,505.0
12109.0,507.0
12110.0,507.0
12111.0,513.0
12112.0,516.0
12113.0,516.0
12114.0,514.0
12115.0,514.0
12116.0,514.0
12117.0,513.0
12118.0,512.0
12119.0,511.0
12120.000000000002,504.0
12121.0,500.0
12122.0,500.0
12123.000000000002,501.0
12124.0,506.0
12125.0,505.0
12126.0,506.0
12127.0,510.0
12128.0,513.0
12129.0,519.0
12130.0,519.0
12131.0,518.0
12132.0,515.0
12133.0,511.0
12134.0,511.0
12135.0,508.0
12136.000000000002,507.0
12137.0,504.0
12138.0,497.0
12139.000000000002,499.0
12140.0,503.0
12141.0,506.0
12142.0,507.0
12143.0,510.0
12144.0,513.0
12145.0,513.0
12146.0,514.0
12147.0,515.0
12148.0,515.0
12149.0,513.0
12150.0,511.0
12151.0,509.0
12152.000000000002,508.0
12153.0,506.0
12154.0,502.0
12155.000000000002,499.0
12156.0,502.0
12157.0,503.0
12158.0,504.0
12159.0,505.0
12160.0,509.0
12161.0,510.0
12162.0,518.0
12163.0,520.0
12164.0,517.0
12165.000000000002,516.0
12166.0,515.0
12167.0,514.0
12168.000000000002,508.0
12169.0,504.0
12170.0,504.0
12171.0,500.0
12172.0,499.0
12173.0,500.0
12174.0,505.0
12175.0,507.0
12176.0,507.0
12177.0,511.0
12178.0,513.0
12179.0,515.0
12180.0,519.0
12181.000000000002,520.0
12182.0,514.0
12183.0,511.0
12184.000000000002,510.0
12185.0,508.0
12186.0,504.0
12187.0,502.0
12188.0,499.0
12189.0,500.0
12190.0,501.0
12191.0,503.0
12192.0,508.0
12193.0,509.0
12194.0,511.0
12195.0,515.0
12196.0,520.0
12197.000000000002,520.0
12198.0,515.0
12199.0,517.0
12200.000000000002,512.0
12201.0,510.0
12202.0,507.0
12203.0,507.0
12204.0,500.0
12205.0,498.0
12206.0,497.0
12207.0,504.0
12208.0,505.0
12209.0,509.0
12210.0,511.0
12211.0,511.0
12212.0,515.0
12213.000000000002,519.0
12214.0,519.0
12215.0,516.0
12216.000000000002,514.0
12217.0,511.0
12218.0,508.0
12219.0,507.0
12220.0,504.0
12221.0,498.0
12222.0,498.0
12223.0,499.0
12224.0,503.0
12225.0,507.0
12226.0,508.0
12227.0,509.0
12228.0,513.0
12229.000000000002,521.0
12230.0,519.0
12231.0,517.0
12232.000000000002,517.0
12233.0,513.0
12234.0,507.0
12235.0,503.0
12236.0,506.0
12237.0,502.0
12238.0,497.0
12239.0,498.0
12240.0,500.0
12241.0,504.0
12242.0,507.0
12243.0,510.0
12244.0,513.0
12245.000000000002,519.0
12246.0,522.0
12247.0,523.0
12248.000000000002,518.0
12249.0,515.0
12250.0,508.0
12251.0,506.0
12252.0,503.0
12253.0,499.0
12254.0,499.0
12255.0,498.0
12256.0,500.0
12257.0,505.0
12258.0,507.0
12259.0,507.0
12260.0,509.0
12261.000000000002,512.0
12262.0,518.0
12263.0,520.0
12264.000000000002,519.0
12265.0,516.0
12266.0,515.0
12267.0,511.0
12268.0,510.0
12269.0,507.0
12270.0,504.0
12271.0,499.0
12272.0,497.0
12273.0,502.0
12274.0,502.0
12275.0,507.0
12276.0,511.0
12277.000000000002,511.0
12278.0,514.0
12279.0,520.0
12280.000000000002,521.0
12281.0,514.0
12282.0,513.0
12283.0,515.0
12284.0,513.0
12285.0,507.0
12286.0,504.0
12287.0,499.0
12288.0,498.0
12289.0,501.0
12290.000000000002,502.0
12291.0,504.0
12292.0,507.0
12293.000000000002,510.0
12294.0,511.0
12295.0,516.0
12296.0,518.0
12297.0,519.0
12298.0,516.0
12299.0,514.0
12300.0,511.0
12301.0,508.0
12302.0,507.0
12303.0,504.0
12304.0,498.0
12305.0,498.0
12306.000000000002,503.0
12307.0,504.0
12308.0,505.0
12309.000000000002,508.0
12310.0,508.0
12311.0,513.0
12312.0,514.0
12313.0,520.0
12314.0,518.0
12315.0,517.0
12316.0,514.0
12317.0,511.0
12318.0,506.0
12319.0,505.0
12320.0,502.0
12321.0,500.0
12322.000000000002,498.0
12323.0,502.0
12324.0,505.0
12325.000000000002,505.0
12326.0,509.0
12327.0,507.0
12328.0,513.0
12329.0,517.0
12330.0,518.0
12331.0,516.0
12332.0,515.0
12333.0,515.0
12334.0,512.0
12335.0,511.0
12336.0,508.0
12337.0,501.0
12338.000000000002,496.0
12339.0,497.0
12340.0,502.0
12341.000000000002,503.0
12342.0,506.0
12343.0,508.0
12344.0,512.0
12345.0,518.0
12346.0,523.0
12347.0,521.0
12348.0,515.0
12349.0,511.0
12350.0,513.0
12351.0,507.0
12352.0,507.0
12353.0,507.0
12354.000000000002,502.0
12355.0,500.0
12356.0,501.0
12357.000000000002,501.0
12358.0,502.0
12359.0,503.0
12360.0,506.0
12361.0,512.0
12362.0,518.0
12363.0,520.0
12364.0,521.0
12365.0,516.0
12366.0,512.0
12367.0,512.0
12368.0,510.0
12369.0,508.0
12370.000000000002,507.0
12371.0,499.0
12372.0,499.0
12373.000000000002,500.0
12374.0,504.0
12375.0,507.0
12376.0,508.0
12377.0,508.0
12378.0,512.0
12379.0,517.0
12380.0,519.0
12381.0,515.0
12382.0,514.0
12383.0,513.0
12384.0,513.0
12385.0,511.0
12386.000000000002,507.0
12387.0,501.0
12388.0,497.0
12389.000000000002,499.0
12390.0,501.0
12391.0,505.0
12392.0,506.0
12393.0,507.0
12394.0,510.0
12395.0,513.0
12396.0,518.0
12397.0,518.0
12398.0,517.0
12399.0,512.0
12400.0,513.0
12401.0,512.0
12402.000000000002,508.0
12403.0,507.0
12404.0,502.0
12405.000000000002,497.0
12406.0,499.0
12407.0,501.0
12408.0,505.0
12409.0,508.0
12410.0,510.0
12411.0,514.0
12412.0,517.0
12413.0,519.0
12414.0,516.0
12415.000000000002,516.0
12416.0,516.0
12417.0,514.0
12418.000000000002,511.0
12419.0,507.0
12420.0,505.0
12421.0,499.0
12422.0,500.0
12423.0,504.0
12424.0,504.0
12425.0,506.0
12426.0,502.0
12427.0,504.0
12428.0,513.0
12429.0,520.0
12430.0,521.0
12431.000000000002,513.0
12432.0,515.0
12433.0,515.0
12434.000000000002,513.0
12435.0,509.0
12436.0,508.0
12437.0,503.0
12438.0,500.0
12439.0,500.0
12440.0,503.0
12441.0,505.0
12442.0,505.0
12443.0,509.0
12444.0,511.0
12445.0,515.0
12446.0,518.0
12447.000000000002,521.0
12448.0,520.0
12449.0,518.0
12450.000000000002,515.0
12451.0,514.0
12452.0,508.0
12453.0,499.0
12454.0,492.0
12455.0,495.0
12456.0,500.0
12457.0,503.0
12458.0,508.0
12459.0,510.0
12460.0,512.0
12461.0,514.0
12462.0,513.0
12463.000000000002,516.0
12464.0,515.0
12465.0,516.0
12466.000000000002,515.0
12467.0,513.0
12468.0,509.0
12469.0,507.0
12470.0,502.0
12471.0,498.0
12472.0,498.0
12473.0,500.0
12474.0,506.0
12475.0,511.0
12476.0,508.0
12477.0,510.0
12478.0,513.0
12479.000000000002,517.0
12480.0,519.0
12481.0,519.0
12482.000000000002,515.0
12483.0,512.0
12484.0,512.0
12485.0,511.0
12486.0,507.0
12487.0,501.0
12488.0,497.0
12489.0,499.0
12490.0,503.0
12491.0,504.0
12492.0,507.0
12493.0,510.0
12494.0,510.0
12495.000000000002,515.0
12496.0,518.0
12497.0,519.0
12498.000000000002,519.0
12499.0,515.0
12500.0,512.0
12501.0,511.0
12502.0,507.0
12503.0,508.0
12504.0,502.0
12505.0,496.0
12506.0,492.0
12507.0,499.0
12508.0,507.0
12509.0,510.0
12510.0,511.0
12511.000000000002,515.0
